
=== offbook — tag O1 (seed 0) ===
arms ['never', 'key_frozen', 'audit_all', 'audit_prop_k', 'route_native', 'fid'] · n_cycles 120 (reactive cap 90) · commits seg [20, 26, 32] chain [35, 38, 41] · lib_add 24 · n_slot 8 · k_prop 2 · delib_budget 0.0 · aud_horizon 0
COMMON HORIZON c57 (spans every arm)   ·   COMPLETED-ARM HORIZON c120
  PARTIAL ARMS: never (died c57, complete=False), fid (died c69, complete=False)
  The app received an EXTERNAL CANCELLATION at 02:12 UTC (clean cancel signal in the
  modal-client log — not a timeout and not preemption; cause unknown, recorded as such).
  So: any claim involving a partial arm is read at c57 and flagged; every
  within-committed claim is read at c120, where all four completed arms share a
  schedule and are unaffected by another arm dying.
references (shared): stale 0.1215 · ceiling 0.0415 · reactive 0.0094 · usable range 0.0800

-- headline at c57 — EVERY arm, incl. the two the cancellation truncated --
  arm               e_perf                 by segment   fb/pc   t_priced     plans         delib         aud    guard
  never             0.0085     [0.0079 0.0155 0.0009]    61.0    31108.3    246240   33956167680           0  0.07745
  key_frozen        0.4332     [0.0672 0.2875 0.9021]     2.5    15695.2     86400   11914444800           0  0.07044
  audit_all         0.0653     [0.0201 0.1096 0.0786]     3.9    15911.8     94275   13224534300      698427  0.06967
  audit_prop_k      0.0492     [0.0224 0.0689 0.0542]     4.0    15917.1     94328   13217840220      191198  0.06215
  route_native      0.0529     [0.0221 0.0756 0.0494]     4.0    15917.0     94327   13218009380      204116  0.06789
  fid               0.0653     [0.0201 0.1096 0.0786]     3.9    15911.8     94275   13224534300      698427  0.06967
  rank on e_perf: never(0.0085) < audit_prop_k(0.0492) < route_native(0.0529) < audit_all(0.0653) < fid(0.0653) < key_frozen(0.4332)

-- headline at c120 — the four arms that completed; within-committed claims live here --
  arm               e_perf                 by segment   fb/pc   t_priced     plans         delib         aud    guard
  key_frozen        0.4203     [0.0773 0.2622 0.8950]     2.7    23573.3     86400   11914444800           0  0.06059
  audit_all         0.0576     [0.0238 0.0854 0.0591]     3.9    24396.6    107454   15436194840     2344638  0.05762
  audit_prop_k      0.0460     [0.0165 0.0724 0.0470]     4.0    24442.8    107916   15450442720      499685  0.05906
  route_native      0.0540     [0.0204 0.0631 0.0630]     4.0    24441.8    107906   15452156200      661748  0.06322
  rank on e_perf: audit_prop_k(0.0460) < route_native(0.0540) < audit_all(0.0576) < key_frozen(0.4203)

-- in-tag fidelity twins (the assertion, not a hope) --
  fid             vs audit_all    max|Δ| over 120 probe values (through c69) = 0.000e+00   PASS
    (fid was truncated at c69; the assertion holds over the 120 probe values it reached, not over the full run)
  audit_prop_kN vs audit_all: one side absent, twin not asserted

-- what the routing actually chose (final performance configuration) --
  arm               chain    tape    head    prim  cand/dec  aud/piece   poison
  never           —  (no library by construction: reactive throughout)
  key_frozen        0.512   1.000   0.000   0.000       1.0          0    0.025
  audit_all         0.021   0.312   0.000   0.688     124.7      17589    0.000
  audit_prop_k      0.000   0.236   0.000   0.764      22.3       3215    0.000
  route_native      0.000   0.181   0.000   0.819      22.9       3292    0.000
  fid             —  (truncated at c69 before the summary block was written)
     (frac_chain = decisions that committed a unit spanning >1 segment — the readout legato
      F4's crossover predicts should be non-zero only where the unit exceeds the horizon;
      frac_head = Port 2 serving; cand/dec = the O(K)→O(k) ladder, measured)

-- THE RENT, and what it would be at a different library size --
  Gate G-K measured competence FLAT past K≈16 (ns=1) and DEGRADING past K=64 (ns=3), so a
  library far beyond that plateau would manufacture the routing arm's advantage: rent no
  competent agent needed to pay. K is therefore set AT the plateau. Note what this table
  shows: the RATIO is a property of the slot partition (n_slot ÷ k_prop), not of K — the
  absolute price scales with the library, the cut does not.
  arm              aud/piece       K=16       K=64      K=288
  key_frozen               0          0          0          0
  audit_all            17589       3518      14071      63320
  audit_prop_k          3215        643       2572      11574
  route_native          3292        658       2634      11851
     (linear in K within a cell, which is exact for this design — every cell is grown by the
      same `lib_add`. Measured K/cell = 80.)

-- PORT 1: trust formation (π's per-level proposal mass over cycles) --
  audit_prop_k:
     cycle     seg   chain    prim  poison    top1       H
       105   0.211   0.000   0.789   0.000   0.880   0.285
       108   0.150   0.004   0.846   0.000   0.872   0.316
       111   0.220   0.004   0.776   0.000   0.870   0.322
       114   0.173   0.003   0.824   0.000   0.884   0.278
       117   0.200   0.001   0.799   0.000   0.894   0.272
       120   0.180   0.001   0.819   0.000   0.870   0.323
     (`census/`+`assay/`: the deep-era value of a vocabulary rides on ARRIVAL — trust, π's
      per-level proposal mass, formed only by time-in-use. This is that series, on a plant.)

-- PORT 1: the can't-decompose signature (mass on a chain's own segment spelling) --
  audit_prop_k: π never argmaxes a chain slot at c120 (all-state mass: chain 0.0002 vs spelling 0.2239)
  route_native: π never argmaxes a chain slot at c120 (all-state mass: chain 0.0007 vs spelling 0.1774)

-- PORT 2: parity trajectory (a slot fires from the head only once it clears τ) --
  route_native: slots with a held-out set 20 · open at end 0 · first open at c— · τ=0.9
     end parity fractions (top 8): [0.63 0.55 0.55 0.40 0.33]
     head calls 0 vs tape calls 5482
     (parity is re-checked EVERY cycle; a slot that drops below τ falls back to tape playback
      verbatim, so 'below parity → keep the tape' cannot introduce drift)

-- PLANT GUARD: one-step FM error on the fixed corridor probe, and e_react --
  arm              guard c0  guard end         Δ  e_react c0  e_react end  @cycle
  never             0.13094    0.07745  -0.05349      0.0097       0.0118     c57
  key_frozen        0.13094    0.07044  -0.06050      0.0097       0.0190     c57
  audit_all         0.13094    0.06967  -0.06127      0.0097       0.0255     c57
  audit_prop_k      0.13094    0.06215  -0.06879      0.0097       0.0137     c57
  route_native      0.13094    0.06789  -0.06305      0.0097       0.0137     c57
  fid               0.13094    0.06967  -0.06127      0.0097       0.0255     c57
     (flat across arms is the pass. Port 2's loss reaches the forward model's own trunk by
      design — this is where interference would show, and it is the mjc analogue of RHM's
      parse/infill staying inert under a head on the generator trunk.)

-- the CONSUMPTION-PHASE ledger (legato's named round-3 design item) --
  one traversal = 74 control steps at dt=0.02s = 1.48s of body time
  arm               e_perf   fb/pc     t@dfb=0.0     t@dfb=0.1     t@dfb=1.0     t@dfb=3.0
  never             0.0085    61.0         1.480         7.580        62.480       184.480
  key_frozen        0.4332     2.5         1.480         1.726         3.938         8.855
  audit_all         0.0653     3.9         1.480         1.874         5.418        13.293
  audit_prop_k      0.0492     4.0         1.480         1.880         5.480        13.480
  route_native      0.0529     4.0         1.480         1.880         5.480        13.480
  fid               0.0653     3.9         1.480         1.874         5.418        13.293
  steady-state per-traversal deliberation (the axis routing is supposed to buy):
  arm              plans/pc     delib/pc     aud/pc
  never              2160.0    297861120        0.0
  key_frozen            0.0            0        0.0
  audit_all           104.6     17557996    13072.7
  audit_prop_k        107.8     17712241     2447.7
  route_native        107.8     17740698     3866.5
  fid                 104.7     17569210    13066.3
     (measured over the last third of cycles, i.e. after the final commit — the acquisition
      phase dominated every mjc ledger so far, which is why `never` always won cumulatively)

-- END-OF-RUN BATTERY on the final trained state --
  arm             probe          e_perf  minability   tape   head   prim  chain
  key_frozen      base           0.3962          20   1.00   0.00   0.00   0.47
  key_frozen      no_prim        0.4171          19   1.00   0.00   0.00   0.50
  key_frozen      no_table     — keyed frozen library has no addressable slot at this
  key_frozen      restored       0.4248          19   1.00   0.00   0.00   0.53
  audit_all       base           0.0577          24   0.34   0.00   0.66   0.01
  audit_all       no_prim        0.1087          28   1.00   0.00   0.00   0.11
  audit_all       no_table       0.0484          17   0.00   0.00   1.00   0.00
  audit_all       restored       0.0622          24   0.30   0.00   0.70   0.01
  audit_prop_k    base           0.0447          16   0.22   0.00   0.78   0.00
  audit_prop_k    no_prim        0.0995          12   1.00   0.00   0.00   0.01
  audit_prop_k    no_table       0.0497          15   0.00   0.00   1.00   0.00
  audit_prop_k    restored       0.0462          14   0.24   0.00   0.76   0.00
  route_native    base           0.0508          15   0.19   0.00   0.81   0.00
  route_native    no_prim        0.1153          17   1.00   0.00   0.00   0.06
  route_native    no_table       0.0550          22   0.00   0.00   1.00   0.00
  route_native    restored       0.0496          18   0.22   0.00   0.78   0.00
  NO BATTERY: never, fid — never has no library by construction (reactive throughout), so none is defined; the rest were truncated by the cancellation before the end-of-run block ran.
     (`no_table` = the address book deleted: π + the span head must serve. Routing-not-pruning
      predicts the CURRENT level survives while the next level's BUILT entries do not — and
      the observation stream, `minability`, is counted table-free from the agent's own chosen
      traversals, so it is the half that should not move. `fid`'s untrained heads under the
      same forced-open policy are the negative control.)

-- the POISON TWIN (one plausible-but-bad address in the library) --
  arm              π mass (end)  launch frac   materialised every seam?
  never                       -            -           n/a (no library)
  key_frozen                  -       0.0250 yes (enumeration has no filter)
  audit_all                   -       0.0000 yes (enumeration has no filter)
  audit_prop_k           0.0002       0.0000            no (π gates it)
  route_native           0.0002       0.0000            no (π gates it)
  fid                         -            - yes (enumeration has no filter)
     (`native/` finding 6 inverted the SPEC's guess: enumeration is FORCED to materialise a
      bogus address at every tip while a routed policy, trained only on successful
      traversals, starves it — selection-before-regression is also a filter against a
      poisoned vocabulary. This is that contrast on a plant.)

-- library at the end --
  key_frozen: sizes {"1:0": 80, "3:0": 72, "1:1": 72, "2:1": 72, "1:2": 72}
     slot occupancy {"1:0": [13, 4, 14, 17, 5, 2, 5, 12, 8], "3:0": [16, 8, 14, 7, 6, 11, 9, 1, 0], "1:1": [40, 1, 2, 2, 5, 12, 5, 5, 0], "2:1": [11, 6, 6, 17, 2, 9, 12, 9, 0], "1:2": [10, 11, 17, 2, 3, 13, 7, 9, 0]}
     chain spellings {"9": [0, 4, 7, 18, 37, 40, 41, 43], "10": [3, 19, 23, 36, 38], "11": [1, 2, 8, 19, 22, 23, 24, 25, 36, 38], "12": [4, 6, 18, 40, 41, 43], "13": [0, 5, 6, 18, 42], "14": [4, 6, 7, 18, 37], "15": [0, 5
  audit_all: sizes {"1:0": 80, "3:0": 72, "1:1": 72, "2:1": 72, "1:2": 72}
     slot occupancy {"1:0": [11, 7, 18, 21, 1, 1, 3, 10, 8], "3:0": [2, 8, 5, 7, 11, 10, 14, 15, 0], "1:1": [38, 1, 4, 3, 12, 6, 5, 3, 0], "2:1": [5, 32, 13, 5, 2, 3, 6, 6, 0], "1:2": [19, 1, 10, 2, 2, 14, 11, 13, 0]}
     chain spellings {"9": [7, 18, 41], "10": [1, 2, 3, 22, 36, 38, 42, 43], "11": [1, 2, 18, 36, 42, 43], "12": [0, 2, 3, 6, 18, 36, 38, 41, 43], "13": [0, 1, 2, 3, 7, 18, 36, 41, 42], "14": [0, 2, 3, 4, 7, 18, 22, 24, 3
  audit_prop_k: sizes {"1:0": 80, "3:0": 72, "1:1": 72, "2:1": 72, "1:2": 72}
     slot occupancy {"1:0": [10, 6, 18, 24, 1, 1, 3, 9, 8], "3:0": [4, 1, 6, 4, 28, 3, 24, 2, 0], "1:1": [41, 1, 3, 2, 11, 6, 5, 3, 0], "2:1": [23, 2, 8, 5, 20, 2, 9, 3, 0], "1:2": [18, 2, 15, 2, 1, 14, 10, 10, 0]}
     chain spellings {"9": [2, 7, 18, 36, 38, 41], "10": [6, 18, 40], "11": [1, 2, 18, 36, 38, 43], "12": [0, 2, 18, 41, 42], "13": [0, 1, 2, 3, 6, 7, 8, 18, 22, 36, 38, 40, 41, 42, 43], "14": [2, 18, 43], "15": [0, 1, 2,
  route_native: sizes {"1:0": 80, "3:0": 72, "1:1": 72, "2:1": 72, "1:2": 72}
     slot occupancy {"1:0": [8, 6, 17, 24, 1, 1, 4, 11, 8], "3:0": [15, 7, 16, 8, 14, 2, 9, 1, 0], "1:1": [40, 1, 3, 2, 12, 6, 5, 3, 0], "2:1": [1, 2, 28, 13, 12, 11, 2, 3, 0], "1:2": [15, 1, 15, 4, 1, 9, 13, 14, 0]}
     chain spellings {"9": [1, 2, 3, 7, 18, 36, 38, 41], "10": [0, 1, 2, 3, 6, 7, 18, 21, 36, 38, 40, 41, 43], "11": [0, 1, 2, 3, 7, 18, 38, 41, 42, 43], "12": [1, 2, 3, 8, 18, 40, 41, 42, 43], "13": [0, 2, 3, 6, 7, 18, 3
