====================================================================================================
[voicing] vo_s3b — reduction
====================================================================================================
  arms   : voi3b_comp_pr_yk, voi3b_comp_yk, voi3b_rep_pr_yk, voi3b_rep_yk
  banked : en_s9:endo_ledger_open_ung5_ra, vo_s3:voi3_dp, vo_s2:voi2_critic

====================================================================================================
[A] LIFETIMES, COMMITS, AND THE IN-TAG IDENTITY CHECK
====================================================================================================
    arm                       cyc  commits (level@cycle)                 s/cycle
    voi3b_comp_pr_yk          201  L2@c48, L3@c100, L4@c151, L5@c186   
    voi3b_comp_yk             201  L2@c48, L3@c100, L4@c151, L5@c186   
    voi3b_rep_pr_yk           201  L2@c48, L3@c100, L4@c151, L5@c186   
    voi3b_rep_yk              201  L2@c48, L3@c100, L4@c151, L5@c186   
    en_s9:endo_ledger_open_ung5_ra  201  L2@c48, L3@c100, L4@c151, L5@c186      (banked)
    vo_s3:voi3_dp             201  L2@c48, L3@c100, L4@c151, L5@c186      (banked)
    vo_s2:voi2_critic         188  L2@c48, L3@c81, L4@c111                (banked)


====================================================================================================
[B] THE CORRIDOR — slots open, parity, misfire, and when it closed
====================================================================================================
    `n_open` is slots past the firing gate; `misfire` is fired rows whose span did not
    match `dp_features` exactly. An arm whose corridor closes stops executing with the
    head and falls back to the DP on every macro call.

    arm                    open@max  open@last  first c with open=0 after a peak   misfire(all)  misfire(era>=3)
    voi3b_comp_pr_yk             30         30  None                             0.2592        0.2455
    voi3b_comp_yk                30         30  None                             0.2934        0.2837
    voi3b_rep_pr_yk              30         27  None                             0.8449        0.8177
    voi3b_rep_yk                 30         29  None                             0.6003        0.5921

    n_open per 10 cycles (the corridor's whole life):
      voi3b_comp_pr_yk         0   0   0   0   0   1  16  16  16  16  16  24  23  24  23  24  27  28  27  28  30
      voi3b_comp_yk            0   0   0   0   0   1  16  16  16  16  16  24  22  24  24  24  28  28  28  29  30
      voi3b_rep_pr_yk          0   0   0   0   0   2  15  16  16  16  16  23  21  20  20  19  25  28  24  27  27
      voi3b_rep_yk             0   0   0   0   0   2  16  15  16  16  16  22  21  24  24  23  28  27  28  27  29
      cycle                    1  11  21  31  41  51  61  71  81  91 101 111 121 131 141 151 161 171 181 191 201

====================================================================================================
[C] THE SAMPLER, REALISED — deviation and on-table projection
====================================================================================================
    `dev`  the sampled entry left the on-table argmax (the quantity the temperature is
           set on; `DESIGN.md` §17 predicted this would fall below the preflight's
           0.44-0.67 because a sharper plant deviates less at fixed T).
    `ont`  the on-table argmax was not the head's FREE-RUN emission — the projection
           component that rides with the write axis (`DESIGN.md` §11).

    voi3b_comp_pr_yk:
      era  cell        n        dev     ont
        4  3n0        37707    0.331   0.025
        4  3n1        22185    0.247   0.018
        4  3n2        44178    0.144   0.022
        4  3n3        16209    0.038   0.005
        4  3n4        29385    0.213   0.058
        4  3n5        53598    0.256   0.040
        4  3n6       257497    0.169   0.025
        4  3n7       129289    0.020   0.001
        4  4n0        22506    0.164   0.018
        4  4n1        32584    0.001   0.000
        4  4n2        37176    0.610   0.045
        4  4n3        86443    0.040   0.000
        4  5n0        28993    0.000   0.000
        4  5n1        68288    0.001   0.000
        5  2n0        17119    0.272   0.013
        5  2n1         3027    0.258   0.036
        5  2n2        15632    0.101   0.001
        5  2n3         3268    0.265   0.014
        5  2n4         3961    0.523   0.004
        5  2n5        14387    0.059   0.002
        5  2n6        33449    0.228   0.000
        5  2n7        17858    0.201   0.001
        5  2n8         3641    0.339   0.009
        5  2n9         1771    0.236   0.003
        5  2n10        9386    0.245   0.011
        5  2n11        1181    0.156   0.003
        5  2n12       41039    0.113   0.004
        5  2n13       41025    0.108   0.003
        5  2n14        3380    0.369   0.001
        5  2n15        3257    0.401   0.002
        5  3n0        23116    0.243   0.029
        5  3n1        16126    0.321   0.031
        5  3n2        34209    0.198   0.019
        5  3n3        11274    0.044   0.001
        5  3n4        28682    0.389   0.084
        5  3n5        41098    0.236   0.032
        5  3n6       168225    0.201   0.015
        5  3n7       133441    0.030   0.003
        5  4n0        25881    0.157   0.006
        5  4n1        27194    0.000   0.000
        5  4n2        48494    0.485   0.066
        5  4n3        74396    0.082   0.000
        5  5n0         3382    0.078   0.000
        5  5n1        53667    0.174   0.000

    voi3b_comp_yk:
      era  cell        n        dev     ont
        1  2n0        25629    0.653   0.002
        1  2n1        25643    0.615   0.003
        1  2n2        25703    0.604   0.001
        1  2n3        25582    0.754   0.004
        1  2n4        25628    0.609   0.005
        1  2n5        25686    0.417   0.005
        1  2n6        25605    0.346   0.004
        1  2n7        25641    0.527   0.006
        1  2n8        25548    0.655   0.004
        1  2n9        25653    0.631   0.004
        1  2n10       25566    0.703   0.003
        1  2n11       25503    0.625   0.002
        1  2n12       25550    0.626   0.001
        1  2n13       25727    0.448   0.003
        1  2n14       25603    0.425   0.002
        1  2n15       25597    0.486   0.003
        2  2n0        11459    0.402   0.012
        2  2n1        16974    0.379   0.009
        2  2n2        29816    0.301   0.007
        2  2n3         8225    0.399   0.013
        2  2n4        15180    0.371   0.011
        2  2n5        38067    0.326   0.006
        2  2n6        14140    0.358   0.010
        2  2n7        19884    0.354   0.013
        2  2n8         8911    0.442   0.016
        2  2n9        23497    0.374   0.007
        2  2n10       53461    0.385   0.009
        2  2n11       10567    0.321   0.014
        2  2n12      223905    0.266   0.010
        2  2n13       90466    0.300   0.006
        2  2n14        8563    0.236   0.005
        2  2n15       23342    0.381   0.013
        2  3n0        35706    0.287   0.000
        2  3n1        35719    0.434   0.000
        2  3n2        35767    0.213   0.000
        2  3n3        35739    0.514   0.000
        2  3n4        35702    0.579   0.000
        2  3n5        35668    0.790   0.000
        2  3n6        36358    0.289   0.001
        2  3n7        36461    0.534   0.001
        3  2n0        35940    0.449   0.012
        3  2n1        37866    0.509   0.008
        3  2n2        53212    0.268   0.004
        3  2n3        21860    0.465   0.006
        3  2n4        29735    0.255   0.001
        3  2n5       159186    0.297   0.003
        3  2n6       172518    0.220   0.000
        3  2n7        65149    0.290   0.003
        3  2n8        25690    0.333   0.014
        3  2n9        95436    0.365   0.002
        3  2n10      138500    0.218   0.002
        3  2n11       20689    0.317   0.004
        3  2n12      666221    0.208   0.009
        3  2n13      384047    0.240   0.005
        3  2n14       13457    0.194   0.002
        3  2n15       93280    0.275   0.008
        3  3n0        46795    0.155   0.019
        3  3n1        71812    0.424   0.023
        3  3n2        49486    0.287   0.018
        3  3n3        52141    0.237   0.015
        3  3n4        95378    0.452   0.061
        3  3n5        49418    0.330   0.048
        3  3n6       757903    0.202   0.009
        3  3n7       145893    0.267   0.015
        3  4n0        63447    0.063   0.000
        3  4n1        84717    0.152   0.000
        3  4n2        89209    0.008   0.000
        3  4n3       165566    0.039   0.000
        4  2n0        16453    0.477   0.006
        4  2n1        11028    0.498   0.018
        4  2n2         4868    0.276   0.001
        4  2n3         2707    0.351   0.010
        4  2n4         2684    0.357   0.002
        4  2n5        41269    0.304   0.004
        4  2n6        29275    0.151   0.000
        4  2n7        10058    0.169   0.001
        4  2n8         5149    0.233   0.004
        4  2n9        11991    0.244   0.002
        4  2n10        8577    0.276   0.001
        4  2n11        6040    0.312   0.002
        4  2n12       63110    0.224   0.004
        4  2n13       46456    0.206   0.003
        4  2n14        3053    0.120   0.001
        4  2n15       42763    0.285   0.005
        4  3n0        25145    0.246   0.021
        4  3n1        13511    0.392   0.015
        4  3n2        20968    0.224   0.014
        4  3n3        20515    0.234   0.012
        4  3n4        48822    0.452   0.076
        4  3n5        21229    0.187   0.022
        4  3n6       214246    0.280   0.023
        4  3n7        41934    0.145   0.010
        4  4n0        14548    0.115   0.000
        4  4n1        37328    0.200   0.000
        4  4n2        31768    0.016   0.003
        4  4n3       160946    0.054   0.000
        4  5n0        28774    0.029   0.000
        4  5n1        70358    0.416   0.000
        5  2n0         7396    0.254   0.002
        5  2n1         5501    0.292   0.004
        5  2n2         8414    0.152   0.000
        5  2n3         6629    0.377   0.022
        5  2n4         1553    0.353   0.001
        5  2n5        46879    0.223   0.005
        5  2n6        15044    0.283   0.001
        5  2n7         8721    0.266   0.014
        5  2n8        15500    0.419   0.020
        5  2n9        10370    0.410   0.001
        5  2n10        9096    0.451   0.009
        5  2n11        7082    0.236   0.006
        5  2n12       45629    0.177   0.002
        5  2n13       19757    0.131   0.003
        5  2n14        1982    0.141   0.000
        5  2n15       28450    0.199   0.002
        5  3n0        26470    0.221   0.019
        5  3n1         7702    0.438   0.035
        5  3n2        14085    0.226   0.015
        5  3n3        34729    0.258   0.011
        5  3n4        91988    0.367   0.029
        5  3n5         6706    0.247   0.021
        5  3n6       124123    0.225   0.022
        5  3n7        34563    0.102   0.007
        5  4n0        29200    0.101   0.000
        5  4n1        38420    0.068   0.000
        5  4n2        23757    0.186   0.019
        5  4n3       144135    0.040   0.000
        5  5n0         3545    0.007   0.000
        5  5n1        36347    0.456   0.031

    voi3b_rep_pr_yk:
      era  cell        n        dev     ont
        1  2n0        25911    0.827   0.005
        1  2n1        25648    0.779   0.003
        1  2n2        25921    0.839   0.002
        1  2n3        25668    0.800   0.004
        1  2n4        28955    0.768   0.003
        1  2n5        29263    0.777   0.008
        1  2n6        26784    0.776   0.006
        1  2n7        25660    0.724   0.003
        1  2n8        25728    0.877   0.003
        1  2n9        26058    0.883   0.005
        1  2n10       25647    0.869   0.002
        1  2n11       25523    0.744   0.001
        1  2n12       25875    0.891   0.003
        1  2n13       26175    0.692   0.005
        1  2n14       26671    0.807   0.002
        1  2n15       27955    0.618   0.005
        2  2n0        49483    0.932   0.017
        2  2n1        48837    0.870   0.034
        2  2n2       117714    0.836   0.019
        2  2n3        31694    0.915   0.034
        2  2n4        46463    0.781   0.017
        2  2n5        93614    0.858   0.025
        2  2n6        39303    0.843   0.006
        2  2n7        43263    0.918   0.033
        2  2n8        31380    0.895   0.025
        2  2n9        79031    0.923   0.029
        2  2n10       26050    0.834   0.030
        2  2n11       14628    0.888   0.044
        2  2n12      208627    0.816   0.055
        2  2n13       76164    0.880   0.046
        2  2n14       86775    0.867   0.011
        2  2n15       90165    0.822   0.026
        2  3n0        35699    0.989   0.000
        2  3n1        35678    0.993   0.001
        2  3n2        35783    0.984   0.000
        2  3n3        35742    0.985   0.000
        2  3n4        35679    0.990   0.000
        2  3n5        35671    0.963   0.002
        2  3n6        36361    0.897   0.001
        2  3n7        35858    0.897   0.001
        3  2n0        40546    0.798   0.026
        3  2n1       113710    0.830   0.006
        3  2n2       175876    0.767   0.011
        3  2n3        63603    0.922   0.013
        3  2n4        28733    0.843   0.034
        3  2n5       193988    0.847   0.010
        3  2n6       150247    0.802   0.010
        3  2n7       101076    0.830   0.016
        3  2n8        85890    0.779   0.030
        3  2n9        36318    0.835   0.027
        3  2n10       48166    0.871   0.022
        3  2n11       36083    0.840   0.028
        3  2n12      665421    0.863   0.012
        3  2n13      451835    0.810   0.042
        3  2n14       68602    0.812   0.009
        3  2n15      157116    0.850   0.016
        3  3n0        30884    0.444   0.028
        3  3n1        30678    0.712   0.034
        3  3n2        37421    0.489   0.017
        3  3n3        17769    0.466   0.014
        3  3n4        45522    0.643   0.020
        3  3n5        43472    0.599   0.026
        3  3n6       383471    0.379   0.023
        3  3n7        51777    0.350   0.020
        3  4n0        27512    0.180   0.003
        3  4n1       115068    0.488   0.000
        3  4n2        75042    0.893   0.016
        3  4n3       119908    0.673   0.024
        4  2n0         5556    0.720   0.013
        4  2n1        19024    0.750   0.011
        4  2n2        18308    0.723   0.020
        4  2n3         8620    0.888   0.016
        4  2n4         3700    0.759   0.041
        4  2n5        30047    0.674   0.017
        4  2n6        22541    0.678   0.002
        4  2n7        13653    0.735   0.031
        4  2n8        30308    0.673   0.029
        4  2n9         7238    0.790   0.026
        4  2n10        2942    0.717   0.017
        4  2n11        3177    0.640   0.022
        4  2n12       98930    0.775   0.026
        4  2n13      103570    0.739   0.057
        4  2n14        5275    0.719   0.003
        4  2n15       66838    0.860   0.008
        4  3n0         6405    0.747   0.038
        4  3n1         9123    0.828   0.084
        4  3n2        31802    0.587   0.010
        4  3n3         8301    0.982   0.007
        4  3n4         9957    0.782   0.038
        4  3n5        19625    0.661   0.045
        4  3n6       156160    0.554   0.060
        4  3n7        27464    0.822   0.017
        4  4n0         8853    0.886   0.012
        4  4n1        40728    0.171   0.003
        4  4n2        43992    0.785   0.045
        4  4n3       126294    0.416   0.026
        4  5n0        64004    0.921   0.000
        4  5n1        34466    0.918   0.000
        5  2n0         6538    0.702   0.021
        5  2n1        11765    0.736   0.019
        5  2n2        19485    0.585   0.010
        5  2n3         6544    0.882   0.029
        5  2n4         3400    0.698   0.013
        5  2n5        12716    0.736   0.009
        5  2n6        10648    0.756   0.003
        5  2n7        12202    0.688   0.025
        5  2n8        65443    0.538   0.040
        5  2n9         3116    0.782   0.017
        5  2n10        2199    0.712   0.012
        5  2n11        4509    0.758   0.020
        5  2n12       69454    0.683   0.017
        5  2n13       60360    0.843   0.032
        5  2n14       15307    0.707   0.008
        5  2n15       54069    0.795   0.013
        5  3n0         5410    0.540   0.021
        5  3n1        13372    0.761   0.073
        5  3n2        25032    0.657   0.020
        5  3n3        10157    0.925   0.019
        5  3n4         4997    0.726   0.028
        5  3n5        25362    0.684   0.034
        5  3n6        92338    0.673   0.039
        5  3n7        23684    0.830   0.013
        5  4n0        12027    0.900   0.023
        5  4n1        39040    0.827   0.000
        5  4n2        67987    0.358   0.052
        5  4n3       135831    0.766   0.006
        5  5n0         5038    0.904   0.001
        5  5n1        37799    0.842   0.021

    voi3b_rep_yk:
      era  cell        n        dev     ont
        1  2n0        25990    0.830   0.004
        1  2n1        25648    0.778   0.002
        1  2n2        25839    0.862   0.000
        1  2n3        25777    0.803   0.003
        1  2n4        29377    0.782   0.007
        1  2n5        29605    0.751   0.016
        1  2n6        26264    0.797   0.005
        1  2n7        25630    0.728   0.002
        1  2n8        25612    0.878   0.003
        1  2n9        25658    0.885   0.003
        1  2n10       25847    0.871   0.004
        1  2n11       25576    0.746   0.001
        1  2n12       25847    0.903   0.001
        1  2n13       26490    0.689   0.006
        1  2n14       27835    0.798   0.002
        1  2n15       28977    0.612   0.005
        2  2n0        28424    0.592   0.008
        2  2n1        35654    0.478   0.011
        2  2n2        87231    0.584   0.010
        2  2n3        26666    0.675   0.020
        2  2n4        50265    0.475   0.008
        2  2n5        72337    0.423   0.015
        2  2n6        31275    0.335   0.004
        2  2n7        29490    0.424   0.024
        2  2n8        36757    0.511   0.008
        2  2n9        52587    0.669   0.008
        2  2n10       29693    0.560   0.016
        2  2n11       13072    0.519   0.034
        2  2n12      193114    0.455   0.021
        2  2n13       74853    0.367   0.012
        2  2n14      109842    0.329   0.006
        2  2n15       80002    0.492   0.014
        2  3n0        35708    0.606   0.000
        2  3n1        35675    0.824   0.001
        2  3n2        35722    0.469   0.001
        2  3n3        35736    0.480   0.000
        2  3n4        35678    0.762   0.001
        2  3n5        35672    0.629   0.001
        2  3n6        35776    0.882   0.001
        2  3n7        35869    0.793   0.001
        3  2n0        63267    0.575   0.015
        3  2n1        59767    0.393   0.008
        3  2n2       114836    0.374   0.002
        3  2n3        24021    0.625   0.014
        3  2n4        26957    0.343   0.008
        3  2n5        89671    0.420   0.003
        3  2n6       186035    0.390   0.002
        3  2n7        65902    0.336   0.006
        3  2n8       113353    0.695   0.010
        3  2n9        50532    0.533   0.007
        3  2n10       16895    0.330   0.008
        3  2n11       18431    0.459   0.008
        3  2n12      535189    0.514   0.024
        3  2n13      386794    0.397   0.005
        3  2n14      108119    0.352   0.002
        3  2n15       59241    0.501   0.014
        3  3n0        15582    0.300   0.028
        3  3n1        42275    0.448   0.043
        3  3n2        18744    0.846   0.045
        3  3n3        49131    0.204   0.011
        3  3n4        27391    0.693   0.031
        3  3n5        72263    0.502   0.045
        3  3n6       271438    0.758   0.052
        3  3n7       140133    0.201   0.011
        3  4n0        26044    0.987   0.003
        3  4n1        61570    0.984   0.015
        3  4n2        59175    0.991   0.005
        3  4n3       101703    0.721   0.004
        4  2n0         6704    0.387   0.012
        4  2n1         8892    0.306   0.019
        4  2n2        38256    0.399   0.003
        4  2n3         6199    0.780   0.025
        4  2n4         4122    0.464   0.007
        4  2n5        18617    0.517   0.009
        4  2n6        26069    0.314   0.000
        4  2n7         9676    0.557   0.021
        4  2n8        13304    0.832   0.014
        4  2n9         4903    0.629   0.016
        4  2n10        2971    0.440   0.004
        4  2n11        2212    0.808   0.020
        4  2n12      124311    0.635   0.021
        4  2n13      126773    0.472   0.038
        4  2n14       12635    0.182   0.002
        4  2n15       11619    0.474   0.031
        4  3n0         9707    0.477   0.039
        4  3n1        18004    0.425   0.068
        4  3n2         4047    0.754   0.049
        4  3n3        23568    0.237   0.024
        4  3n4         5160    0.741   0.034
        4  3n5        19843    0.566   0.033
        4  3n6       171077    0.707   0.065
        4  3n7        48856    0.142   0.004
        4  4n0         4966    0.923   0.018
        4  4n1        12976    0.930   0.087
        4  4n2        10433    0.555   0.026
        4  4n3        80722    0.536   0.013
        4  5n0        28462    1.000   0.000
        4  5n1        64273    0.999   0.000
        5  2n0        10323    0.569   0.019
        5  2n1         6415    0.611   0.005
        5  2n2        41596    0.263   0.003
        5  2n3         4983    0.827   0.004
        5  2n4         1186    0.547   0.024
        5  2n5        18713    0.323   0.010
        5  2n6        18927    0.293   0.001
        5  2n7         3320    0.755   0.013
        5  2n8        11024    0.579   0.036
        5  2n9         3168    0.588   0.007
        5  2n10        5992    0.423   0.009
        5  2n11        2234    0.773   0.019
        5  2n12       80734    0.447   0.014
        5  2n13      104592    0.435   0.019
        5  2n14       13464    0.375   0.001
        5  2n15        9716    0.232   0.007
        5  3n0        10868    0.238   0.005
        5  3n1        11713    0.457   0.041
        5  3n2         3374    0.811   0.090
        5  3n3        23687    0.286   0.008
        5  3n4         7797    0.931   0.029
        5  3n5        16778    0.521   0.070
        5  3n6       128069    0.659   0.058
        5  3n7        55977    0.166   0.007
        5  4n0        10118    0.803   0.017
        5  4n1        15126    0.959   0.008
        5  4n2        16720    0.328   0.009
        5  4n3       111154    0.513   0.012
        5  5n0         2310    0.537   0.012
        5  5n1        18478    0.537   0.040

====================================================================================================
[D] WHAT THE CHOOSER WROTE — Q0 §5's table, live, on the EXECUTED population
====================================================================================================
    Filed writes only (kept by the beam and on a graded tip). `rows` is the operative
    table's size, `dist` distinct tuples written, `keys` distinct class-pair keys,
    `tok` distinct token classes, `top1` the share of the era's filed writes on one
    tuple. Q0's banked numbers at the same nodes: L4 2.6-3.6 of 155-187 rows, top1
    0.91-0.94; L5 1.5-1.6 of 144-152, top1 0.80-0.93 (the FIRED population).

    voi3b_comp_pr_yk:
      era  cell      n_filed  rows   dist/cyc  keys/cyc  tok/cyc   top1(w)
        1  2n0        1553    13      2.92     2.92    2.92     0.638
        1  2n1        2142    13      3.42     3.42    3.00     0.641
        1  2n2        1679    13      2.83     2.83    2.50     0.661
        1  2n3        1605    13      2.50     2.50    2.25     0.670
        1  2n4        1551    13      2.50     2.50    2.33     0.719
        1  2n5        2020    13      2.58     2.58    2.25     0.768
        1  2n6        1778    13      2.25     2.25    2.25     0.708
        1  2n7        1832    13      2.25     2.25    2.00     0.747
        1  2n8        1591    13      2.75     2.75    2.58     0.720
        1  2n9        2102    13      3.00     3.00    2.92     0.605
        1  2n10       1741    13      2.92     2.92    2.83     0.591
        1  2n11       1492    13      2.50     2.50    2.33     0.716
        1  2n12       1491    13      2.42     2.42    2.25     0.753
        1  2n13       2174    13      2.42     2.42    2.33     0.761
        1  2n14       1538    13      3.00     3.00    2.83     0.533
        1  2n15       2042    13      2.33     2.33    2.00     0.786
        2  2n0        4668    16      4.42     4.42    3.86     0.462
        2  2n1        5059    16      3.94     3.94    3.66     0.522
        2  2n2        5427    16      3.86     3.86    3.34     0.511
        2  2n3        4396    16      3.52     3.52    2.90     0.542
        2  2n4        3532    16      3.56     3.56    3.18     0.624
        2  2n5        6132    16      3.68     3.68    3.32     0.606
        2  2n6        5902    16      2.86     2.86    2.06     0.791
        2  2n7        5595    16      3.18     3.18    2.64     0.648
        2  2n8        4647    16      3.98     3.98    3.58     0.490
        2  2n9        4894    16      3.98     3.98    3.60     0.485
        2  2n10       4950    16      3.80     3.80    3.10     0.538
        2  2n11       3836    16      3.50     3.50    2.92     0.564
        2  2n12      10758    16      4.34     4.34    3.72     0.540
        2  2n13       8040    16      3.82     3.82    3.70     0.546
        2  2n14       4205    16      2.86     2.86    2.52     0.693
        2  2n15       5130    16      3.38     3.38    2.82     0.584
        2  3n0        1818    70      3.40     3.20    2.90     0.727
        2  3n1        1957    70      4.50     3.50    3.10     0.424
        2  3n2        1869    70      3.90     3.60    3.40     0.606
        2  3n3        2078    70      4.00     3.40    3.30     0.610
        2  3n4        2040    70      3.70     3.00    2.80     0.488
        2  3n5        2122    70      4.80     3.40    2.70     0.578
        2  3n6        2598    70      4.20     3.80    3.20     0.648
        2  3n7        1752    70      2.80     2.40    2.30     0.667
        3  2n0        6058    17      6.40     6.40    5.39     0.381
        3  2n1        4990    17      4.86     4.86    4.26     0.455
        3  2n2        6613    17      4.00     4.00    3.36     0.563
        3  2n3        5827    17      4.79     4.79    3.01     0.476
        3  2n4        3989    17      4.17     4.17    3.41     0.560
        3  2n5        8427    17      3.97     3.97    3.14     0.628
        3  2n6        8868    17      3.07     3.07    2.39     0.779
        3  2n7        8636    17      4.34     4.34    3.24     0.609
        3  2n8        5933    17      5.01     5.01    4.26     0.447
        3  2n9        5421    17      4.83     4.83    4.03     0.459
        3  2n10       6084    17      4.46     4.46    3.53     0.445
        3  2n11       4911    17      4.80     4.80    3.37     0.500
        3  2n12      17946    17      4.99     4.99    4.53     0.596
        3  2n13      17465    17      4.99     4.99    3.83     0.533
        3  2n14       4005    17      2.39     2.39    2.06     0.774
        3  2n15       5102    17      4.07     4.07    3.04     0.491
        3  3n0        8439    76      3.00     2.64    2.57     0.608
        3  3n1        8287    76      4.10     3.24    2.84     0.519
        3  3n2        8197    76      3.31     2.94    2.80     0.663
        3  3n3        8511    76      2.86     2.50    2.49     0.760
        3  3n4        8002    76      3.93     2.94    2.60     0.583
        3  3n5        8355    76      3.77     3.06    2.20     0.517
        3  3n6       37054    76      4.93     3.83    3.53     0.502
