====================================================================================================
[voicing] vo_s3d2 — reduction
====================================================================================================
  arms   : voi3_dp
  banked : en_s9:endo_ledger_open_ung5_ra

====================================================================================================
[A] LIFETIMES, COMMITS, AND THE IN-TAG IDENTITY CHECK
====================================================================================================
    arm                       cyc  commits (level@cycle)                 s/cycle
    voi3_dp                   201  L2@c59, L3@c77, L4@c157             
    en_s9:endo_ledger_open_ung5_ra  201  L2@c48, L3@c100, L4@c151, L5@c186      (banked)

    IDENTITY CHECK — voi3_dp against EVERY banked anchor. The anchor names no
    consumer knob, so it must be the banked arm to the bit; anything else means the
    record or an instrument is not inert.
      vs en_s9:endo_ledger_open_ung5_ra:  MAX|delta| OVER ALL SERIES = 2.352e+05   commits equal: False
        e=4.219e-01  succ=4.219e-01  dres=2.000e+00  n_solved=3.670e+02  n_mined=6.000e+00  n_moves=1.600e+01  width=1.500e+01  e_practice=3.594e-01  vloss=3.364e-01  gloss=1.402e+00  t_cum=2.352e+05  g_per_solve=2.500e+01  m_per_solve=1.200e+01
        commits: [(2, 59), (3, 77), (4, 157)]  vs  [(2, 48), (3, 100), (4, 151), (5, 186)]

====================================================================================================
[B] THE CORRIDOR — slots open, parity, misfire, and when it closed
====================================================================================================
    `n_open` is slots past the firing gate; `misfire` is fired rows whose span did not
    match `dp_features` exactly. An arm whose corridor closes stops executing with the
    head and falls back to the DP on every macro call.

    arm                    open@max  open@last  first c with open=0 after a peak   misfire(all)  misfire(era>=3)
    voi3_dp                      28         28  None                             0.0648        0.0619

    n_open per 10 cycles (the corridor's whole life):
      voi3_dp                  0   0   0   0   0   0   0  16  16  24  24  24  24  24  24  24  26  28  28  28  28
      cycle                    1  11  21  31  41  51  61  71  81  91 101 111 121 131 141 151 161 171 181 191 201

====================================================================================================
[C] THE SAMPLER, REALISED — deviation and on-table projection
====================================================================================================
    `dev`  the sampled entry left the on-table argmax (the quantity the temperature is
           set on; `DESIGN.md` §17 predicted this would fall below the preflight's
           0.44-0.67 because a sharper plant deviates less at fixed T).
    `ont`  the on-table argmax was not the head's FREE-RUN emission — the projection
           component that rides with the write axis (`DESIGN.md` §11).

    voi3_dp: argmax arm — never sampled.
====================================================================================================
[D] WHAT THE CHOOSER WROTE — Q0 §5's table, live, on the EXECUTED population
====================================================================================================
    Filed writes only (kept by the beam and on a graded tip). `rows` is the operative
    table's size, `dist` distinct tuples written, `keys` distinct class-pair keys,
    `tok` distinct token classes, `top1` the share of the era's filed writes on one
    tuple. Q0's banked numbers at the same nodes: L4 2.6-3.6 of 155-187 rows, top1
    0.91-0.94; L5 1.5-1.6 of 144-152, top1 0.80-0.93 (the FIRED population).

    voi3_dp:
      era  cell      n_filed  rows   dist/cyc  keys/cyc  tok/cyc   top1(w)
        3  2n9        5723    17      5.66     5.66    4.93     0.436
        3  2n10       6106    17      5.31     5.31    4.66     0.410
        3  2n11       4897    17      5.20     5.20    4.20     0.437
        3  2n12      17873    17      5.94     5.94    5.07     0.428
        3  2n13      12544    17      4.33     4.33    3.46     0.595
        3  2n14       5411    17      4.27     4.27    4.17     0.574
        3  2n15       7540    17      5.64     5.64    4.60     0.434
        3  3n0        8248    85      4.27     3.81    3.60     0.515
        3  3n1        8018    85      4.91     4.07    3.69     0.488
        3  3n2        7566    85      3.97     3.73    3.56     0.600
        3  3n3       10502    85      3.93     3.61    3.50     0.604
        3  3n4        6619    85      4.24     3.59    3.56     0.556
        3  3n5        6990    85      5.84     4.83    4.14     0.395
        3  3n6       30924    85      6.31     4.71    4.57     0.479
        3  3n7       10871    85      5.03     4.21    4.21     0.449
        3  4n0        2353   168      1.43     1.39    1.39     0.934
        3  4n1        3313   168      1.00     1.00    1.00     1.000
        3  4n2        4028   168      2.04     1.96    1.96     0.862
        3  4n3        6488   168      1.83     1.83    1.83     0.871
        4  2n0        1001    17      6.00     6.00    5.67     0.441
        4  2n1         852    17      5.42     5.42    5.08     0.435
        4  2n2        1016    17      5.83     5.83    5.17     0.381
        4  2n3         672    17      5.42     5.42    4.17     0.409
        4  2n4         789    17      6.17     6.17    5.17     0.349
        4  2n5         997    17      4.50     4.50    3.58     0.449
        4  2n6         770    17      4.67     4.67    4.25     0.532
        4  2n7        1077    17      5.42     5.42    4.25     0.400
        4  2n8         793    17      5.33     5.33    5.25     0.465
        4  2n9        1027    17      5.17     5.17    4.67     0.413
        4  2n10       1218    17      5.92     5.92    5.00     0.431
        4  2n11        854    17      5.83     5.83    4.83     0.335
        4  2n12       2524    17      4.83     4.83    3.92     0.398
        4  2n13       2545    17      4.42     4.42    3.75     0.657
        4  2n14        886    17      3.33     3.33    3.25     0.590
        4  2n15       1182    17      5.17     5.17    4.00     0.397
        4  3n0        1471    85      4.17     3.92    3.92     0.515
        4  3n1        1147    85      4.92     4.17    4.00     0.413
        4  3n2        1294    85      4.17     3.92    3.75     0.597
        4  3n3        2430    85      5.25     4.25    3.92     0.610
        4  3n4        1019    85      4.00     3.25    3.17     0.546
        4  3n5        1222    85      5.42     5.17    4.58     0.376
        4  3n6        5645    85      6.33     4.75    4.58     0.468
        4  3n7        2097    85      3.75     3.58    3.58     0.557
        4  4n0        1417   168      1.08     1.08    1.08     0.999
        4  4n1        1463   168      1.00     1.00    1.00     1.000
        4  4n2        2403   168      1.67     1.58    1.58     0.947
        4  4n3        5615   168      1.00     1.00    1.00     1.000
        5  2n0         656    19      6.44     6.44    5.78     0.383
        5  2n1         509    19      5.00     5.00    4.67     0.470
        5  2n2         773    19      5.56     5.56    4.89     0.451
        5  2n3         606    19      5.44     5.44    3.78     0.421
        5  2n4         518    19      5.44     5.44    4.89     0.415
        5  2n5         834    19      5.11     5.11    4.44     0.452
        5  2n6         655    19      5.11     5.11    4.78     0.489
        5  2n7        1131    19      5.22     5.22    4.00     0.495
        5  2n8         766    19      5.78     5.78    5.56     0.398
        5  2n9         966    19      5.78     5.78    4.89     0.364
        5  2n10       1265    19      5.78     5.78    5.00     0.456
        5  2n11        632    19      5.56     5.56    4.56     0.366
        5  2n12       1673    19      5.89     5.89    4.78     0.406
        5  2n13       2247    19      4.56     4.56    3.78     0.636
        5  2n14        609    19      3.78     3.78    3.22     0.624
        5  2n15        817    19      5.89     5.89    4.67     0.377
        5  3n0        1110    99      4.56     4.33    4.22     0.594
        5  3n1         709    99      5.78     5.33    4.67     0.427
        5  3n2         975    99      4.89     4.56    4.22     0.549
        5  3n3        2108    99      4.78     4.33    4.00     0.710
        5  3n4         962    99      4.33     3.56    3.44     0.532
        5  3n5        1383    99      6.33     5.44    4.89     0.387
        5  3n6        4301    99      6.67     4.56    4.22     0.545
        5  3n7        1337    99      3.67     3.56    3.56     0.669
        5  4n0        1218   224      1.89     1.78    1.89     0.792
        5  4n1        1818   224      1.00     1.00    1.00     1.000
        5  4n2        2086   224      2.44     2.00    2.11     0.911
        5  4n3        4560   224      1.33     1.22    1.33     0.923

====================================================================================================
[E] THE WRITER'S CLASS ACCURACY ON THE PRICED BEAM (held-out: fresh instances/cycle)
====================================================================================================
    `contains` against the clean latent, `rep` against the set of features that REPAIR
    the instance there. On an open slot the writer IS the head, so `rep` is the head's
    class accuracy; where the corridor is closed it is the DP's. Q0 §3's audition-path
    numbers for the DP at the frontier: 4n3 contains_rep 0.718 (era 4), 5n1 0.582.

    voi3_dp:
      era  cell     contains n    contains   rep n     rep
        1  2n0          413      0.446       64    0.078
        1  2n1          317      0.438       64    0.141
        1  2n2          349      0.590       64    0.219
        1  2n3          268      0.683       64    0.141
        1  2n4          246      0.492       64    0.328
        1  2n5          300      0.687       64    0.203
        1  2n6          449      0.844       64    0.172
        1  2n7          408      0.684       64    0.219
        1  2n8          386      0.718       64    0.141
        1  2n9          581      0.468       64    0.125
        1  2n10         381      0.874       64    0.156
        1  2n11         460      0.622       64    0.203
        1  2n12         413      0.441       64    0.391
        1  2n13         525      0.554       64    0.234
        1  2n14         360      0.814       64    0.109
        1  2n15         421      0.366       64    0.141
        2  2n0         5266      0.478     3102    0.181
        2  2n1         4647      0.531     2915    0.155
        2  2n2         4463      0.562     2947    0.185
        2  2n3         4198      0.424     2966    0.127
        2  2n4         3442      0.516     2754    0.170
        2  2n5         4957      0.504     3044    0.186
        2  2n6         5144      0.714     3103    0.189
        2  2n7         5350      0.578     3016    0.220
        2  2n8         4130      0.303     2818    0.114
        2  2n9         4493      0.444     2874    0.209
        2  2n10        4051      0.559     2933    0.221
        2  2n11        4590      0.429     2967    0.130
        2  2n12       10148      0.580     3187    0.519
        2  2n13        6484      0.403     3111    0.176
        2  2n14        5030      0.566     2985    0.167
        2  2n15        4868      0.355     2864    0.199
        2  3n0         4134      0.281     1995    0.080
        2  3n1         4477      0.248     2109    0.174
        2  3n2         4079      0.366     1975    0.121
        2  3n3         5081      0.358     2090    0.162
        2  3n4         3523      0.289     2021    0.125
        2  3n5         3393      0.311     1951    0.195
        2  3n6         6333      0.487     2112    0.459
        2  3n7         4034      0.229     2013    0.235
        3  2n0         5473      0.514     3946    0.220
        3  2n1         5095      0.534     4007    0.198
        3  2n2         5578      0.533     4071    0.249
        3  2n3         5383      0.500     4041    0.193
        3  2n4         3811      0.468     3311    0.174
        3  2n5         5989      0.492     4156    0.182
        3  2n6         5548      0.584     3961    0.185
        3  2n7         5976      0.561     4211    0.238
        3  2n8         4933      0.382     4024    0.183
        3  2n9         5723      0.516     4183    0.279
        3  2n10        6106      0.666     4170    0.250
        3  2n11        4897      0.482     3817    0.143
        3  2n12       17873      0.384     4480    0.212
        3  2n13       12544      0.406     4480    0.227
        3  2n14        5411      0.613     3948    0.243
        3  2n15        7540      0.368     4323    0.238
        3  3n0         8248      0.248     4322    0.146
        3  3n1         8018      0.271     4339    0.191
        3  3n2         7566      0.379     4399    0.208
        3  3n3        10502      0.368     4480    0.223
        3  3n4         6619      0.244     4227    0.136
        3  3n5         6990      0.312     4292    0.167
        3  3n6        30924      0.448     4480    0.506
        3  3n7        10871      0.269     4460    0.285
        3  4n0         2353      0.722     1304    0.304
        3  4n1         3313      0.886     1363    0.434
        3  4n2         4028      0.729     1440    0.325
        3  4n3         6488      0.840     1456    0.702
        4  2n0         1001      0.469      723    0.209
        4  2n1          852      0.414      655    0.156
        4  2n2         1016      0.517      721    0.229
        4  2n3          672      0.496      598    0.231
        4  2n4          789      0.554      683    0.303
        4  2n5          997      0.630      712    0.270
        4  2n6          770      0.617      654    0.243
        4  2n7         1077      0.567      707    0.264
        4  2n8          793      0.343      665    0.107
        4  2n9         1027      0.502      720    0.272
        4  2n10        1218      0.640      748    0.293
        4  2n11         854      0.450      673    0.221
        4  2n12        2524      0.254      768    0.064
        4  2n13        2545      0.309      768    0.095
        4  2n14         886      0.529      668    0.266
        4  2n15        1182      0.245      725    0.218
        4  3n0         1471      0.205      752    0.207
        4  3n1         1147      0.312      720    0.168
        4  3n2         1294      0.417      731    0.176
        4  3n3         2430      0.363      768    0.236
        4  3n4         1019      0.209      680    0.082
        4  3n5         1222      0.323      768    0.296
        4  3n6         5645      0.289      768    0.181
        4  3n7         2097      0.249      768    0.383
        4  4n0         1417      0.742      743    0.357
        4  4n1         1463      0.873      717    0.374
        4  4n2         2403      0.816      768    0.496
        4  4n3         5615      0.863      768    0.764
        5  2n0          656      0.453      520    0.169
        5  2n1          509      0.621      456    0.103
        5  2n2          773      0.602      541    0.194
        5  2n3          606      0.518      495    0.182
        5  2n4          518      0.515      457    0.053
        5  2n5          834      0.596      552    0.201
        5  2n6          655      0.591      524    0.113
        5  2n7         1131      0.546      576    0.158
        5  2n8          766      0.168      509    0.191
        5  2n9          966      0.209      549    0.302
        5  2n10        1265      0.311      576    0.193
        5  2n11         632      0.122      479    0.146
        5  2n12        1673      0.273      576    0.047
        5  2n13        2247      0.301      576    0.104
        5  2n14         609      0.481      469    0.183
        5  2n15         817      0.236      539    0.250
        5  3n0         1110      0.224      576    0.120
        5  3n1          709      0.322      536    0.114
        5  3n2          975      0.353      565    0.158
        5  3n3         2108      0.389      576    0.191
        5  3n4          962      0.085      576    0.156
        5  3n5         1383      0.166      555    0.225
        5  3n6         4301      0.196      576    0.094
        5  3n7         1337      0.269      576    0.196
        5  4n0         1218      0.753      553    0.136
        5  4n1         1818      0.934      576    0.236
        5  4n2         2086      0.658      576    0.321
        5  4n3         4560      0.833      576    0.365

====================================================================================================
[F] THE IN-SITU READ-BACK — the number DESIGN §15 says decides whether Q2's
    `own_readback` has anything to read
====================================================================================================
    The frozen reader run on the span the learner just wrote, IN PLACE, quotiented
    through the arm's own class map and tallied against the record's class. Never
    summed with the verdict. Q0 §4: the STRUCTURAL disagreement on the token class is
    0.000 by construction on this draw, so everything here is the neural ear plus the
    learned quotient.

    voi3_dp:
      era  cell         n   class_agree  tuple_agree   unnamed
        1  2n0         96       1.000       1.000     0.000
        1  2n1         96       1.000       1.000     0.000
        1  2n2         96       1.000       1.000     0.000
        1  2n3         96       1.000       1.000     0.000
        1  2n4         96       0.979       0.979     0.000
        1  2n5         96       1.000       1.000     0.000
        1  2n6         96       1.000       1.000     0.000
        1  2n7         96       1.000       1.000     0.000
        1  2n8         96       1.000       1.000     0.000
        1  2n9         96       1.000       1.000     0.000
        1  2n10        96       1.000       1.000     0.000
        1  2n11        96       1.000       1.000     0.000
        1  2n12        96       1.000       1.000     0.000
        1  2n13        96       1.000       1.000     0.000
        1  2n14        96       0.990       0.990     0.000
        1  2n15        96       1.000       1.000     0.000
        2  2n0       4249       1.000       1.000     0.000
        2  2n1       3819       0.962       0.962     0.000
        2  2n2       3820       0.955       0.955     0.000
        2  2n3       3664       0.952       0.952     0.000
        2  2n4       3275       0.987       0.987     0.000
        2  2n5       4095       0.992       0.992     0.000
        2  2n6       4126       0.970       0.970     0.000
        2  2n7       4197       0.890       0.890     0.000
        2  2n8       3538       0.981       0.981     0.000
        2  2n9       3663       0.990       0.990     0.000
        2  2n10      3590       0.965       0.965     0.000
        2  2n11      3888       0.890       0.890     0.000
        2  2n12      4640       1.000       1.000     0.000
        2  2n13      4449       0.994       0.994     0.000
        2  2n14      3880       0.995       0.995     0.000
        2  2n15      3911       0.949       0.949     0.000
        2  3n0       2730       0.989       0.989     0.000
        2  3n1       3025       0.997       0.997     0.000
        2  3n2       2665       1.000       1.000     0.000
        2  3n3       2945       0.996       0.996     0.000
        2  3n4       2617       1.000       1.000     0.000
        2  3n5       2500       0.921       0.921     0.000
        2  3n6       3133       1.000       1.000     0.000
        2  3n7       2671       1.000       1.000     0.000
        3  2n0       5025       0.993       0.993     0.000
        3  2n1       4902       0.942       0.942     0.000
        3  2n2       5195       0.941       0.941     0.000
        3  2n3       5068       0.943       0.943     0.000
        3  2n4       3770       0.989       0.989     0.000
        3  2n5       5304       0.968       0.968     0.000
        3  2n6       5025       0.944       0.944     0.000
        3  2n7       5341       0.906       0.906     0.000
        3  2n8       4757       0.995       0.995     0.000
        3  2n9       5238       0.981       0.981     0.000
        3  2n10      5335       0.982       0.982     0.000
        3  2n11      4654       0.882       0.882     0.000
        3  2n12      6716       1.000       1.000     0.000
        3  2n13      6687       0.992       0.992     0.000
        3  2n14      4973       0.988       0.988     0.000
        3  2n15      5979       0.968       0.968     0.000
        3  3n0       6069       0.980       0.980     0.000
        3  3n1       6089       0.979       0.979     0.000
        3  3n2       6147       1.000       1.000     0.000
        3  3n3       6608       0.982       0.980     0.000
        3  3n4       5652       1.000       1.000     0.000
        3  3n5       5941       0.907       0.907     0.000
        3  3n6       6720       1.000       1.000     0.000
        3  3n7       6465       0.998       0.998     0.000
        3  4n0       1682       1.000       1.000     0.000
        3  4n1       1912       1.000       1.000     0.000
        3  4n2       2054       1.000       1.000     0.000
        3  4n3       2141       1.000       1.000     0.000
        4  2n0        958       1.000       1.000     0.000
        4  2n1        788       0.916       0.916     0.000
        4  2n2        915       0.955       0.955     0.000
        4  2n3        648       0.889       0.889     0.000
        4  2n4        789       0.940       0.940     0.000
        4  2n5        901       0.987       0.987     0.000
        4  2n6        770       0.904       0.904     0.000
        4  2n7        899       0.839       0.839     0.000
        4  2n8        784       0.995       0.995     0.000
        4  2n9        884       0.897       0.897     0.000
        4  2n10      1042       0.959       0.959     0.000
        4  2n11       812       0.873       0.873     0.000
        4  2n12      1136       1.000       1.000     0.000
        4  2n13      1152       0.980       0.980     0.000
        4  2n14       837       0.998       0.998     0.000
        4  2n15       979       0.999       0.999     0.000
        4  3n0       1055       0.966       0.951     0.000
        4  3n1        958       0.989       0.949     0.000
        4  3n2       1073       1.000       1.000     0.000
        4  3n3       1129       0.996       0.973     0.000
        4  3n4        875       1.000       1.000     0.000
        4  3n5       1048       0.960       0.954     0.000
        4  3n6       1152       1.000       1.000     0.000
        4  3n7       1152       1.000       1.000     0.000
        4  4n0       1065       1.000       1.000     0.000
        4  4n1       1002       1.000       1.000     0.000
        4  4n2       1152       1.000       1.000     0.000
        4  4n3       1152       1.000       1.000     0.000
        5  2n0        645       0.975       0.975     0.000
        5  2n1        505       0.915       0.915     0.000
        5  2n2        669       0.877       0.877     0.000
        5  2n3        606       0.880       0.880     0.000
        5  2n4        513       1.000       1.000     0.000
        5  2n5        750       0.945       0.945     0.000
        5  2n6        627       0.914       0.914     0.000
        5  2n7        860       0.924       0.924     0.000
        5  2n8        656       1.000       1.000     0.000
        5  2n9        768       0.996       0.996     0.000
        5  2n10       846       0.991       0.991     0.000
        5  2n11       605       0.821       0.821     0.000
        5  2n12       842       0.994       0.994     0.000
        5  2n13       864       0.979       0.979     0.000
        5  2n14       557       0.953       0.953     0.000
        5  2n15       702       0.959       0.959     0.000
        5  3n0        807       1.000       0.998     0.000
        5  3n1        669       0.942       0.898     0.000
        5  3n2        803       1.000       1.000     0.000
        5  3n3        864       1.000       0.990     0.000
        5  3n4        844       1.000       1.000     0.000
        5  3n5        811       0.989       0.989     0.000
        5  3n6        864       0.997       0.997     0.000
        5  3n7        832       1.000       1.000     0.000
        5  4n0        809       1.000       1.000     0.000
        5  4n1        851       1.000       1.000     0.000
        5  4n2        864       1.000       1.000     0.000
        5  4n3        864       1.000       1.000     0.000

====================================================================================================
[G] THE RECORD'S VOLUME AND THE OBJECTIVE'S DIET
====================================================================================================
    `filed` writes kept by the beam and on a graded tip; `solved` their verdict;
    `unnamed` training rows whose recorded class has no member in the current table
    (the argmax arms' own hazard — DESIGN §14); `verify_bad` gate V-1's counter.

    arm                    written    filed   solved%   unnamed   verify   v_bad   buf(last, max over slots)
    voi3_dp                   1418828   419042    0.223         0   419042       0   8192

====================================================================================================
[H] ARRIVAL, CLASS COVERAGE, MERGES AND THE BILL
====================================================================================================
    arm                   L5@sup(end) L6@sup(end)  L4 classes(end)  merges taken  exp_reads   t_cum
    voi3_dp                          13           0              26            50    2246273    50979162
    en_s9:endo_ledger_open_ung5_ra         17           3              26            44     382722    51208256

====================================================================================================
[I] ERA-4/5 ERROR — with the caveat
====================================================================================================
    `enharmonic`'s matched-clock gaps between near-identical arms reach 0.08, and these
    arms are SELF-PACED and lived different numbers of cycles, so error is NOT a claim
    here. The structural readouts above are.

    arm                   era1  era2  era3  era4  era5
    voi3_dp                  0.466  0.599  0.625  0.622  0.831
    en_s9:endo_ledger_open_ung5_ra 0.499  0.620  0.613  0.671  0.773

====================================================================================================
[J] THE CRITIC — held-out AUC against the verdict, per slot, over the run
====================================================================================================
    The held-out split is by the parity gate's own BIJECTIVE row code, not a coin flip,
    so a context recurring across cycles cannot sit on both sides. `auc` is None where
    one class is absent on the held-out rows — an AUC is undefined then, and saying so
    beats reporting 0.5. DENOMINATORS AND BASE RATES ARE PART OF THE READING: the
    preflight's AUCs sat on 16-26 rows at base rate 0.045-0.08 and were a path check.

    [Q3] THE TWO DIETS ARE READ APART and are NEVER pooled. The filed rows are the
    practice beam's own writes — a narrow, self-selected candidate set (Q0 finding 3:
    at the frontier almost every write falls in one token class) — and the probe rows
    are the babbler's substitutions, a DIFFERENT class by construction. A pooled AUC
    would read that candidate-set difference as discrimination. Both columns carry
    their own denominator and base rate.

    voi3_dp: no critic.
====================================================================================================
[K] EPSILON — its OWN counters, and the frontier it is confined to
====================================================================================================
    `n_eps` counts calls where epsilon FIRED; `eps_shift` those where the uniform class
    draw actually changed the write (it is below `n_eps` because a uniform draw can land
    on the class the argmax would have written). These are separate from `shift`, which
    also counts the CRITIC re-deciding — on a governed arm the two are not separable
    from `shift` alone. Q1 §19 is why the frontier confinement exists at all.

    voi3_dp: epsilon never fired (argmax arm).

====================================================================================================
[L] GOVERNANCE — which slots the critic earned, when, and how often it moved the write
====================================================================================================
    A slot is governed once it holds `vo_critic_min` filed rows. `shift - eps_shift`
    is the part of the re-decision the CRITIC is responsible for.

    voi3_dp: the critic governed no slot.

====================================================================================================
[M] THE CORRIDOR UNDER A MOVED WRITE — misfire with the treatment's own draws removed
====================================================================================================
    `n_misfire` counts FIRED rows (the head executed) whose span did not match
    `dp_features` exactly. Where the treatment RE-DECIDED the write, a mismatch with the
    DP's row IS the treatment and not a defect — so the raw rate is not the corridor's
    health on a treated arm.

    [Q3] THE SPLIT Q2 COULD NOT MAKE. `n_sampled` / `n_xp_shift` count every
    re-decided call, OPEN and CLOSED alike, and `n_fired` counts only calls the head
    executed — so on an arm whose corridor is mostly shut, Q2's `shift - misfire` was
    a subtraction across two different denominators and `excess` had to be withheld
    wherever `shift > n_misfire`. The recorder now tallies the shift BY PATH
    (`n_shift_fired` / `n_shift_closed`), so `excess` below is
        (n_misfire - shift_FIRED) / n_fired
    on the same denominator throughout. It is the misfire the moved write does NOT
    explain. A negative value means the head matched the DP on rows the treatment had
    moved — possible, and printed rather than clipped. Q2's undecomposable form is kept
    in the last two columns so a Q2 tag reduces to the same numbers it did.

    arm                    open max/last  n_fired    misfire   shift_fire  shift_clos   excess    [Q2 form]
    voi3_dp                    28 /   28    4959810    0.0648           0           0    0.0648   shift/sampled 0.0000 excess 0.0648

    n_open per 10 cycles:
      voi3_dp                  0   0   0   0   0   0   0  16  16  24  24  24  24  24  24  24  26  28  28  28  28

====================================================================================================
[N] THE COMPOSED CHOICE — how often the critic moved the write off the DP's row
====================================================================================================
    On a governed slot the composed chooser is  argmax_t  z(dp_t / span) + w * z(critic_t)
    over the on-table candidates, each z-scored over the candidate SET. `moved` is the
    share of governed calls where that argmax is not the DP's own argmax — MEASURED at
    the choice, never inferred from the write.

